id,cave,keywords,_details,_creator,_publisher,_publication_year,_rights,_link
Yaaser_13M-1,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3873
Yaaser_14_132_133_25_27,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3874
Yaaser_14_16_17_3_4,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3875
Yaaser_14_51_52_20_22,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3876
Yaaser_14_7_8_10_12,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3877
Yaaser_14_7_8_8_10,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3878
Yaaser_14_81_82_7_13,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3879
Yaaser_14E2,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3880
Yaaser_4,Ya'aser,"papua, fakfak, Maske",Maske fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3881
Yaaser_5_Det,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3882
Yaaser_6E_1_Maske,Ya'aser,"papua, fakfak, Maske",Maske sicher,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3883
Sasera_4_-_-,Sasera,"papua, kaimana, Mensch unbestimmbar",fragliche Belege,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3884
Sasera_6_-_-,Sasera,"papua, kaimana, Mensch unbestimmbar",fragliche Belege,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3886
