id,x,y
0,0.06959078910743957,0.8432571854621945
1,0.0743720709144205,0.8251841354410347
10,0.8382158437014666,0.4800771496246904
11,0.9194141986137364,0.5171403399291827
12,0.767838084921044,0.34239069383635673
13,0.8122077792283375,0.2962602219696638
14,0.7753470923481421,0.4070904207929179
15,0.1566894802848341,0.8212531047670918
16,0.9465923336759977,0.6968668618747297
17,0.90595488862686,0.7306554238933387
18,0.11387696747486387,0.23612505605034279
19,0.4269484428804681,0.34822795207380014
2,0.33355916444467015,0.5575941194952659
20,0.42879159505143355,0.5893063770836199
21,0.07193291832191323,0.2571878184576562
22,0.35630955455631463,0.3593323208772114
23,0.629216290105983,0.36295876767833074
24,0.6056376445385154,0.5828589817433177
25,0.20038623076801598,0.23115113485677766
26,0.6487328141054488,0.4372628386700975
27,0.06720337484179797,0.3075296260837015
28,0.2474709859566215,0.39879941419737797
29,0.4501963637546344,0.8284622647204107
3,0.14220574426513374,1.0423386829675723
30,1.0259727573581219,0.36555127373040947
31,0.27339234955627123,0.3816992884006266
32,0.4590018996505233,0.4607383392710069
33,0.7468623198077228,0.7077993647977981
34,0.6166303354544947,0.4981161021185778
35,0.7465608813751529,0.5339278791386617
36,0.6798796838622271,0.4326003315996335
37,0.5599437642572761,0.41293655041775024
38,0.26985212513965073,0.2758862090266786
39,0.7095038373545576,0.30154061167148
4,0.9062230417596353,0.2962713919188284
40,0.056149806549596386,0.23959619970474094
41,0.35708100498276074,0.18456010636003709
42,0.8642387286531219,0.40433214225290137
43,0.7657051248626678,0.6546029419914509
44,0.987155177407424,0.636024828768921
45,0.3881980020034921,0.8675953734394262
46,0.12913801966774746,0.9362534125881116
47,0.5643495934760479,1.0874893827446899
48,0.9409757758847838,0.3029532067275768
49,1.0024669001802495,0.5709210742502842
5,0.656560298140499,0.22601619057866984
50,0.8572173655428932,0.6351527948364328
51,0.6981612798595126,0.5591984086057321
52,0.8994174003191542,0.43380558107092176
53,0.12411976135610062,1.038264707754487
54,0.2642341721502942,0.12877476675745608
55,0.3613995075873675,0.1373401461667566
56,0.5260520242709462,0.09482692440445137
57,0.5842375862642926,0.12477686198435269
58,0.587941441219063,0.1753220546466672
59,0.394057713984692,0.07549401321148184
6,0.19105229170768412,0.7603528461532185
60,0.15985681424451276,0.15179321716171326
61,0.13784170672951657,1.0637402586062823
62,0.806864388063966,0.17791039382798113
63,0.49683726812936935,0.19973573117524895
64,0.4606090790599947,0.16584438753444783
65,0.415807538983448,0.8244443780796892
66,0.013174309698355468,0.4168345029963353
7,0.11895363648604237,1.0597055484839997
8,0.1272482446809929,0.9125508869127145
9,0.5803826170769572,1.087406524155308
